order_line_id,order_id,order_date,ship_date,ship_mode,customer_id,product_id,postal_code,sales,quantity,discount,profit,customer_name,segment,city,state,region,category,sub_category
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,FUR-BO-10001798,42420,261.96,2,0.0,41.91,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Bookcases
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,FUR-CH-10000454,42420,731.94,3,0.0,219.58,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Chairs
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,OFF-LA-10000240,90036,14.62,2,0.0,6.87,Darrin Van Huff,Corporate,Los Angeles,California,West,Office Supplies,Labels
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,FUR-TA-10000577,33311,957.58,5,0.45,-383.03,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,OFF-ST-10000760,33311,22.37,2,0.2,2.52,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,FUR-FU-10001487,90032,48.86,7,0.0,14.17,Brosina Hoffman,Consumer,Los Angeles,California,West,Furniture,Furnishings
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-AR-10002833,90032,7.28,4,0.0,1.97,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Art
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,TEC-PH-10002275,90032,907.15,6,0.2,90.72,Brosina Hoffman,Consumer,Los Angeles,California,West,Technology,Phones
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-BI-10003910,90032,18.5,3,0.2,5.78,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Binders
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-AP-10002892,90032,114.9,5,0.0,34.47,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Appliances
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,FUR-TA-10001539,90032,1706.18,9,0.2,85.31,Brosina Hoffman,Consumer,Los Angeles,California,West,Furniture,Tables
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,TEC-PH-10002033,90032,911.42,4,0.2,68.36,Brosina Hoffman,Consumer,Los Angeles,California,West,Technology,Phones
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,OFF-PA-10002365,28027,15.55,3,0.2,5.44,Andrew Allen,Consumer,Concord,North Carolina,South,Office Supplies,Paper
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,OFF-BI-10003656,98103,407.98,3,0.2,132.59,Irene Maddox,Consumer,Seattle,Washington,West,Office Supplies,Binders
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,OFF-AP-10002311,76106,68.81,5,0.8,-123.86,Harold Pawlan,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,OFF-BI-10000756,76106,2.54,3,0.8,-3.82,Harold Pawlan,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,OFF-ST-10004186,53711,665.88,6,0.0,13.32,Pete Kriz,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,OFF-ST-10000107,84084,55.5,2,0.0,9.99,Alejandro Grove,Consumer,West Jordan,Utah,West,Office Supplies,Storage
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,OFF-AR-10003056,94109,8.56,2,0.0,2.48,Zuschuss Donatelli,Consumer,San Francisco,California,West,Office Supplies,Art
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,TEC-PH-10001949,94109,213.48,3,0.2,16.01,Zuschuss Donatelli,Consumer,San Francisco,California,West,Technology,Phones
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,OFF-BI-10002215,94109,22.72,4,0.2,7.38,Zuschuss Donatelli,Consumer,San Francisco,California,West,Office Supplies,Binders
22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,OFF-AR-10000246,68025,19.46,7,0.0,5.06,Ken Black,Corporate,Fremont,Nebraska,Central,Office Supplies,Art
23,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,OFF-AP-10001492,68025,60.34,7,0.0,15.69,Ken Black,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,FUR-CH-10002774,19140,71.37,2,0.3,-1.02,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,FUR-TA-10000577,84057,1044.63,3,0.0,240.26,Emily Burns,Consumer,Orem,Utah,West,Furniture,Tables
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,OFF-BI-10001634,90049,11.65,2,0.2,4.22,Eric Hoffmann,Consumer,Los Angeles,California,West,Office Supplies,Binders
